name,items,retail_value,price,value_ratio
Harry Potter Classic #1,"1x Harry Potter Backpack $19.95
1x Harry Potter Drink Bottle $9.95
1x Harry Potter Tech Decals $4.95
1x Harry Potter Pencil Case  $4.95
1x Harry Potter Book Mark $4.95
1x Harry Potter Wand  $12.95
1x Harry Potter A5 Notebook  $4.95
1x Harry Potter Pencil Set $7.95
1x Harry Potter Tote Bag  $4.95",75.55,32.0,2.3609375
RIP Snorter Brain Blaster Super,"10x 10g Brain Blaster Chew Bars $0.50
2x 40g Brain Blaster Drops $1.00
2x 40g Brain Blaster Bubblegum $1.00
2x 40g Brain Blaster Chews $1.00
1x 36"" Brain Blaster Inflatable Hammer $3.00",14.0,6.0,2.3333333333333335
Love To Squish Bag,"1x 30cm Panda $20.00
1x 30cm Koala Bear $20.00
1x 15cm Lion $10.00
1x 15cm Cat $10.00
1x 15cm Unicorn $10.00",70.0,30.0,2.3333333333333335
Metallica,"1x Metallica T-Shirt $19.99
1x Metallica Laminated Bag $7.99
1x Metallica Trucker Cap $14.99
1x Metallica Socks $7.99
1x Metallica PVC Keyring $5.99
1x Metallica Coffee Mug $12.99",69.94,30.0,2.3313333333333333
Sonic #2,"1x Sonic Backpack $24.95
1x Sonic Drink Bottle $9.95
1x Sonic Fidget Spinner $9.95
1x Sonic Tote Bag $4.95
1x Sonic Notebook $4.95
1x Sonic Rubber Ball $4.95
1x Sonic Cap $9.95
1x Sonic Spinning Tops $4.95",74.6,32.0,2.33125
Paw Patrol Skye Showbag,"1x Paw Patrol Skye Tote Bag $4.95
1x Paw Patrol Skye Backpack $19.95
1x Paw Patrol Skye Bucket Hat $9.95
1x Paw Patrol Colouring Book $4.95
1x Paw Patrol Skye Handbag $14.95
1x Paw Patrol Skye Heart Sunglasses $9.95
1x Paw Patrol Skye Pencil Case $4.95
1x Paw Patrol Skye Trinket Boxes $4.95",74.6,32.0,2.33125
Onesimals,"1x Onesimals Backpack $19.95
1x Onesimals Badges $4.95
1x Onesimals Diary $9.95
1x Onesimals Drink Bottle $9.95
1x Onesimals Pouches $9.95
1x Onesimals Slapband $9.95
1x Onesimals Stickerbook $4.95
1x Onesimals Tote Bag $4.95",74.6,32.0,2.33125
Bertie Beetle Bonanza,"18x Bertie Beetle 10g $0.80
1x Bertie Beetle Lunch Cooler Bag OR Basketball OR Ceramic Mug Set OR Bouncy Ball Set (Choose one) $20.00
Spend $35 or more on our Bertie Beetle range to SPIN & WIN prizes from our chocolate wheel, located at the Bertie Beetle Stand in the Showbag Pavilion. ",34.4,15.0,2.2933333333333334
Army Action,"1x Army Camouflage Helmet $9.95
1x Military Vest $10.95
1x Army Assault Rifle $9.95
1x Semi Automatic Rifle with sound, light and rotating Bullet Belt $24.95
1x Camouflage Machine Gun $12.95",68.75,30.0,2.2916666666666665
NRL Melbourne storm,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Paramatta Eels,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Wests Tiger,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL New Zealand Warriors,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Penrith Panthers,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL South Sydney Rabbitohs,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Canterbury Bulldogs,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Brisbane Broncos,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Cronulla Sharks,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95
1x *Show Special $30 each or 2 for $50 ",68.6,30.0,2.2866666666666666
NRL Sydney Roosters,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Manly Sea Eagles,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL North Queensland Cowboys,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL Dolphins,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
NRL St George Dragons,"1x NRL Cap $12.95
1x NRL Car Sign $4.95
1x NRL Decals $4.95
1x NRL Lanyard $6.95
1x NRL Sports Bag $24.95
1x NRL Pencil Case $4.95
1x NRL Temporary Tattoos $3.95
1x NRL Tote Bag $4.95",68.6,30.0,2.2866666666666666
Brain Blaster Bag,"1x 40gm Brain Blasters Bubbles $2.00
1x 40gm Brain Blasters Chews $2.00
1x 40gm Brain Blasters Drops $2.00
1x 10gm Brain Blaster Apple/Grape Chew Bar $0.50
1x 10gm Brain Blaster Strawberry/BlueRaspberry Chew Bar $0.50
1x 10gm Brain Blaster Strawberry/Apple Chew Bar $0.50
1x 10gm Brain Blaster Grape/BlueRaspberry Chew Bar $0.50",8.0,3.5,2.2857142857142856
Squishy Things,"1x Bubble Tea Backpack Clip 10cm $7.95
1x Squeeze Neon Ball 6.5cm $9.95
1x Squish Ball Glitter $4.50
2x Squish Mochi Dinosaur $2.95
2x Squish Mochi Friends (5.5cm) $2.95
1x Squish Moochi Jumbo $3.95
1x Squish Pen $7.95
1x Squish Sticker $7.95
1x Squishy Things Tote Bag $3.95
1x Stretch Pug $4.95
1x Squishy Glitter Mesh Ball 7cm $4.95
1x Stretch Unicorn $4.95",72.85,32.0,2.2765625
Sonic #1,"1x Sonic A4 Temporary Tattoos $3.95
1x Sonic Backpack $24.95
1x Sonic Mini Basketball Ring $7.95
1x Sonic Cap $12.95
1x Sonic Pin Ball $4.95
1x Sonic Silly Straws $7.95
1x Sonic Window Walkers $4.95
1x Sonic Tote Bag $4.95",72.6,32.0,2.26875
Pusheen #2,"1x Pusheen Backpack $19.95
1x Pusheen Drink Bottle $12.95
1x Pusheen Keyring PVC $3.95
1x Pusheen Lunch Box Set $9.95
1x Pusheen Mouse Pad $5.95
1x Pusheen Nail Stickers $2.95
1x Pusheen Notebook $4.95
1x Pusheen Tote Bag $3.95
1x Pusheen Phone Wallet $7.95",72.55,32.0,2.2671875
Candy Craze Super Bag,"10x Fruit Treat Chews $0.20
10x Tiger Gums $0.10
10x Fizzy Friends $0.20
10x Fizzy Splash Bars $0.20
1x 16g MARS®FUNSIZE® $0.65
2x 12g MILKY WAY®FUNSIZE® $0.65
1x 13.5g M&M'S FUNSIZE® $0.65
5x Wizz Fizz Sherbets $0.50
1x Viper Dragon Soft Toy $15.95",28.05,12.5,2.244
Peppa Pig George Showbag,"1x PEPPA PIG GEORGE - BACKPACK & COOLERBAG $24.95
1x PEPPA PIG GEORGE TOTE BAG $4.95
1x PEPPA PIG GEORGE PUZZLE SET $7.95
1x PEPPA PIG GEORGE HOODED TOWEL $19.95
1x PEPPA PIG GEORGE POSTER SET $5.95
1x PEPPA PIG GEORGE BATH TOYS $7.95",71.7,32.0,2.240625
Garfield,"1x Garfield Backpack  $19.95
1x Garfield Drink Bottle $9.95
1x Garfield  Eye Mask $7.95
1x Garfield Tote Bag $4.95
1x Garfield Shower Cap $4.95
1x Garfield Stationery Set $9.95
1x Garfield Pouches $9.95
1x Garfield Keychain $3.95",71.6,32.0,2.2375
PAC-MAN,"1x PAC-MAN Backpack $24.95
1x PAC-MAN Mouse Pad $5.95
1x PAC-MAN Cap $12.95
1x PAC-MAN Drink Bottle $9.95
1x PAC-MAN Flying Disc $4.95
1x PAC-MAN Notebook $4.95
1x PAC-MAN Tote Bag $4.95
1x PAC-MAN Temporary Tattoos $2.95",71.6,32.0,2.2375
Monster Jam,"1x Monster Jam Backpack $24.95
1x Monster Jam Bucket Hat $9.95
1x Monster Jam Tote Bag $4.95
1x Monster Jam Badges $4.95
1x Monster Jam Sticker Sheet $2.95
1x Monster Jam Temporary Tattoos $3.95
1x Monster Jam Truck $9.95
1x Monster Jam Flag $9.95",71.6,32.0,2.2375
Rainbow High,"1x Rainbow High Overnight Bag $24.95
1x Rainbow High Cap $12.95
1x Rainbow High Gel Pens $5.95
1x Rainbow High Hair Extension $4.95
1x Rainbow High Metallic Temporary Tattoos $4.95
1x Rainbow High Trinket Box $4.95
1x Rainbow High Zip Lock Purse $4.95
1x Rainbow High Tote Bag $4.95
1x Rainbow High Nail Stickers $2.95",71.55,32.0,2.2359375
Cadbury Cherry Ripe Super,"20x 15g Bite Size Cherry Ripe $0.60
8x 12g Bite Size Dairy Milk $0.60
2x 15g Bite Size Crunchie $0.60
2x 15g Bite Size Boost $0.60
1x Playing Cards $2.95",22.15,10.0,2.215
Cocomelon,"1x Cocomelon Backpack $24.95
1x Cocomelon Ball $7.95
1x Cocomelon Activity Set $4.95
1x Cocomelon Bucket Hat $9.95
1x Cocomelon Lunchbox Set $9.95
1x Cocomelon Tote Bag $4.95
1x Cocomelon Bath Toys $7.95",70.65,32.0,2.2078125
Barbie Fab Life,"1x Barbie Fab Headband $4.95
1x Barbie Fab Colour In Book Set $4.95
1x Barbie Fab Drink Bottle $7.95
1x Barbie Fab Bucket Hat $9.95
1x Barbie Fab Overnight Bag $24.95
1x Barbie Fab Skirt $12.95
1x Barbie Fab Tote Bag $4.95",70.65,32.0,2.2078125
Barbie Dreamtopia,"1x Barbie Dreamtopia Backapack $24.95
1x Barbie Dreamtopia DIY Card Set $4.95
1x Barbie Dreamtopia Headband $4.95
1x Barbie Dreamtopia Tote Bag $4.95
1x Barbie Dreamtopia Skirt $12.95
1x Barbie Dreamtopia Stick on earrings $4.95
1x Barbie Dreamtopia Trinket Boxes $4.95
1x Barbie Dreamtopia Wand Set $7.95",70.6,32.0,2.20625
Miraculous,"1x Miraculous Sticker Sheet $2.95
1x Miraculous Backpack $19.95
1x Miraculous Eye Mask $7.95
1x Miraculous Headband $4.95
1x Miraculous Lockable Diary $9.95
1x Miraculous Tote Bag $4.95
1x Miraculous Pouches $9.95
1x Miraculous Skipping Rope $9.95",70.6,32.0,2.20625
LOL Surprise #1,"1x LOL Backpack $19.95
1x LOL Drink Bottle $9.95
1x LOL Fan $7.95
1x LOL Hair Extension $4.95
1x LOL Headband $4.95
1x LOL Skirt $12.95
1x LOL Sticker Book $4.95
1x LOL Tote Bag $4.95",70.6,32.0,2.20625
NERF Super Soaker,"1x Nerf Super Soaker $39.99
1x Nerf Sports Lenticular Tumbler $4.95
1x Nerf Adult Trucker Cap - Sublimated $14.99
1x Nerf 2D PVC Keyring $5.99",65.92,30.0,2.1973333333333334
NRL State of Origin NSW,"1x SOO - NSW Badges $4.95
1x SOO - NSW Cap $12.95
1x SOO - NSW Car Sign $4.95
1x SOO - NSW Cooler Bag $9.95
1x SOO - NSW Decals $4.95
1x SOO - NSW Keyring $3.95
1x SOO - NSW Sipper $9.95
1x SOO - NSW Tattoos $3.95
1x SOO - NSW Wristbands $4.95
1x SOO - NSW Non Woven Bag $4.95",65.5,30.0,2.183333333333333
Mega Fizz,"1x 19g Double Dip  $0.60
1x 30g Little Ripper Sparkling Candy  $1.00
1x 60g Fizzy Friends Candy $1.00
4x 10g TNT Sour Crazy Crackles  $0.40
1x Fizzy Fun Sherbet Bottles $0.35
1x 30g  Little Ripper Fizzy Chews  $1.00
1x 15g Candy Sours  $0.60
2x 28g Mega Mouth Pop  $0.40
1x Suction Bracelet $3.95",10.9,5.0,2.18
Brooklyn Nine - Nine,"1x B99 Air Freshner $3.95
1x B99 Desk Mat $12.95
1x B99 Tote Bag $4.95
1x B99 Badge Set $4.95
1x B99 Notebook & Pen Set $7.95
1x B99 Drink Bottle $9.95
1x B99 Duffle Bag $24.95",69.65,32.0,2.1765625
Pokemon Squad,"1x Pokemon Squad Backpack $24.95
1x Pokemon Squad Cap $12.95
1x Pokemon Squad Nail Stickers $3.95
1x Pokemon Squad Tote Bag $4.95
1x Pokemon Squad Notebook $3.95
1x Pokemon Squad Pen $4.95
1x Pokemon Squad Socks $7.95
1x Pokemon Squad Tech Decals $2.95
1x Pokemon Trading Cards $2.95",69.55,32.0,2.1734375
Rainbow Freeze,"1x Soft Drink $3.00
1x Ghost Drops10 Pack $1.25
1x Karate Roller $0.60
1x Plus Your Choice Of One Novelty Drink Bottle $6.00",10.85,5.0,2.17
Building Bricks,"1x Future Police Crawler Building Bricks $12.95
1x Nexo Knights Building Bricks $9.95
1x Dinosaur Building Bricks $9.95
1x Fortnight Building Bricks $15.95
1x SWAT Helicopter Building Bricks $15.95",64.75,30.0,2.158333333333333
Knights and Gladiators,"1x Knights Helmet $19.95
1x Knights Breast Plate with Mask and Spyglass $16.95
1x Knights Sword and Shield Set with Axe and Dagger $16.95",53.85,25.0,2.154
Kawaii Squad,"1x Kawaii Squad A4 Scrapbook $4.95
1x Kawaii SquadBackpack $19.95
1x Kawaii Squad Pencil Case $4.95
1x Kawaii Squad Cooler Bag $9.95
1x Kawaii Squad Gel Pens $5.95
1x Kawaii Squad Squishie Sticker $4.95
1x Kawaii Squad Tote Bag $4.95
1x Kawaii Squad A5 Stickers $2.95
1x Kawaii Squad Drink Bottle $9.95",68.55,32.0,2.1421875
Spirit Showbag,"1x Spirit Backpack $19.95
1x Spirit Bracelet Set $4.95
1x Spirit Hair Ties $4.95
1x Spirit Lockable Diary $9.95
1x Spirit Mini Pencil Case $4.95
1x Spirit Scrapbook Decals $4.95
1x Spirit Drawstring Bag $7.95
1x Spirit Gel Pen Set $5.95
1x Spirit Tote Bag $4.95",68.55,32.0,2.1421875
Cadbury Crunchie Super,"18x 15g Bite Size Crunchie $0.60
8x 12g Bite Size Dairy Milk $0.60
1x 15g Bite Size Boost $0.60
1x 14g Bite Size Twirl $0.60
1x 15g Bite Size Cherry Ripe  $0.60
1x 21.5 Curly Wurly  $1.00
1x Playing Cards $2.95",21.35,10.0,2.1350000000000002
My Little Pony Bag,"1x My Little Pony Carry Bag $5.95
1x My Little Pony Backpack $19.95
2x My Little Pony Slippers $9.95
1x My Little Pony Skirt $9.95
1x My Little Pony Headband Hair Extension $2.95
1x My Little Pony  Bubble Bath $9.95
1x My Little Pony Lip Gloss And Purse Set $5.95",74.6,35.0,2.1314285714285712
Peter Rabbit Showbag,"1x PETER RABBIT BACKPACK $19.95
1x PETER RABBIT BALL $4.95
1x PETER RABBIT COOLERBAG $9.95
1x PETER RABBIT GARDEN SET $9.95
1x PETER RABBIT MONEY TIN $7.95
1x PETER RABBIT STICKER AND STAMP SET $9.95
1x PETER RABBIT NON WOVEN BAG $4.95",67.65,32.0,2.1140625
Peppa Pig Showbag #2,"1x Peppa Pig Backpack $19.95
1x Peppa Pig Bucket Hat $9.95
1x Peppa Pig Colouring Pad $3.95
1x Peppa Pig Skirt $12.95
1x Peppa Pig Snack Box $4.95
1x Peppa Pig Sticker Sheet $2.95
1x Peppa Pig Sunglasses $7.95
1x Peppa Pig Tote Bag $4.95",67.6,32.0,2.1125
Paw Patrol Showbag #1,"1x Paw Patrol Activity Set $4.95
1x Paw Patrol Backpack $24.95
1x Paw Patrol Coolerbag $9.95
1x Paw Patrol Drink Bottle $7.95
1x Paw Patrol Mask Set $4.95
1x Paw Patrol Memory Cards $4.95
1x Paw Patrol Tote Bag $4.95
1x Paw  Patrol Puzzle Set $4.95",67.6,32.0,2.1125
Rainbocorns,"1x Rainbocorns Overnight Bag $24.95
1x Rainbocorns Activity Set $4.95
1x Rainbocorns Bracelets $4.95
1x Rainbocorns Hair Extension $4.95
1x Rainbocorns Nail Art $4.95
1x Rainbocorns Stick On Earrings $4.95
1x Rainbocorns Trinket Boxes $4.95
1x Rainbocorns Drink Bottle $7.95
1x Rainbocorns Tote Bag $4.95",67.55,32.0,2.1109375
Gloss and Glamour,"1x Brushed Cotton Backpack- Your Choice of Design $19.95
1x Temporary Tattoos Set $4.95
1x Compact Mirror $2.95
1x Lip Gloss $2.95
1x Stick On Nails $2.50
1x Sunglasses $9.95
1x 3 Colour Highlighter Palette $6.95
1x Foam Nail File $1.20
1x 3 Colour Eyeshadow Palette $9.95
1x Eyelash Curler $1.95",63.3,30.0,2.11
Bertie Beetle Triple Deal,"2x Bertie Beetle Blue Showbag containing 5 x Bertie Beetle 10g and  1 x  Kit Kat 17g $4.60
1x Bertie Beetle Gold Showbag containing 11 x Bertie Beetle 10g $11.80
Spend $35 or more on our Bertie Beetle range to SPIN & WIN prizes from our chocolate wheel, located at the Bertie Beetle Stand in the Showbag Pavilion. ",21.0,10.0,2.1
Football Australia Matildas,"1x Matildas Bag $7.99
1x Matildas Soccer Ball $5.95
1x Matildas Wrist Band $2.99
1x Matildas Drink Bottle $14.95
1x Matildas Keyring $5.99
1x Matildas Scarf $24.95",62.82,30.0,2.094
Friends,"1x Friends Badges $4.95
1x Friends Bracelet Set $4.95
1x Friends Cutlery Set $7.95
1x Friends Hand Bag $24.95
1x Friends Tote Bag $4.95
1x Friends Nail Files $3.95
1x Friends Notebook $4.95
1x Friends Snack Box Set $9.95",66.6,32.0,2.08125
Where's Wally,"1x Where's Wally Backpack $19.95
1x Where's Wally Glasses $4.95
1x Where's Wally Puzzle $9.95
1x Where's Wally Keychain $2.95
1x Where's Wally Magnified Glass $2.95
1x Where's Wally Colour in Book $4.95
1x Where's Wally Stickers $2.95
1x Where's Wally Beanie $12.95
1x Where's Wally Tote Bag $4.95",66.55,32.0,2.0796875
Blippi,"1x Blippi Dress Up Glasses $3.95
1x Blippi Dress Up Hat $3.95
1x Blippi Tote Bag $4.95
1x Blippi Backpack $19.95
1x Blippi Wooden Puzzle $9.95
1x Blippi Drink Bottle $7.95
1x Blippi Stationery $7.95
1x Blippi Colour In Shapes $3.95
1x Blippi Tooth Brush $3.95",66.55,32.0,2.0796875
Disgusting Bag,"1x Snot $2.95
1x Leech $2.95
1x Fart Whistle $2.95
1x Goofy Teeth $2.95
1x Stool $2.95
1x Super Vomit $2.95
1x Whoopee Cushion $2.95",20.65,10.0,2.065
Mega Fizz Jumbo,"1x 42.5g Triple Dippers Sherbet Dip $1.00
4x 10g TNT Sour Crazy Crackles $0.40
1x 19g Double Dip $0.40
2x Fizzy Fun Sherbet Bottles $0.40
1x 100g Fizzy Splash Chew Bars (10pk) $2.00
1x 100g Little Ripper Chew Bars (10pk) $2.00
1x 100g Brain Blaster Chew Bars (10pk) $2.00
1x 30g Little Ripper Sparkling Candy (10pk) $1.00
1x 30g Little Ripper Fizzy Chews (10pk) $1.00
1x 60g Fizzy Friends Candy (10pk) $1.00
1x 75g TNT Sour Straps $1.75
1x 37g Little Ripper Fruit Stix $1.00
1x 75cm Sound Tube $4.95",20.5,10.0,2.05
Thomas The Tank Showbag,"1x Thomas Activity Set $4.95
1x Thomas Backpack $24.95
1x Thomas Coolerbag $9.95
1x Thomas Tote Bag $4.95
1x Thomas Placemat $4.95
1x Thomas Play Ball $4.95
1x Thomas Train (Assorted) $9.95",64.65,32.0,2.0203125
Hot Wheels,"1x Hot Wheels Cap $12.95
1x Hot Wheels Backpack $19.95
1x Hot Wheels Colouring & Sticker Set $6.95
1x Hot Wheels Helmet Decals $2.95
1x Hot Wheels Keyring $3.95
1x Hot Wheels Tote Bag $4.95
2x Hot Wheels Cars *Styles may vary $3.95
1x Hot Wheels Spokes $4.95",64.55,32.0,2.0171875
Mega Dinosaur,"1x 96pc Dinosaur Flexi Track Set $30.00
1x 15pc Dinosaur Garden Case Play Set $20.00
1x 3pc Mini Dinosaurs Creatures $10.00
1x Dinosaur Metal Car Series $10.00",70.0,35.0,2.0
Dollykins,"1x Baby Doll Cradle $19.95
1x Baby Doll with potty, feeding set and dummy $15.95
1x Doll's Dress $6.95
1x Doll's 2 piece Outfit $9.95
1x Doll's Nappy Set $6.95",59.75,30.0,1.9916666666666667
Lollypops,"10x Chupa Chup Lollypops Assorted Flavours $0.50
1x Rainbow Karate Belts $3.95
30x Fruity Lollipops $0.20
1x 55g Rainbow Swirl Pop $2.00
1x Sticky Hand $2.95",19.9,10.0,1.9899999999999998
Peppa Pig Showbag #1,"1x Peppa Pig A4 Stickers $2.95
1x Peppa Pig Backpack $24.95
1x Peppa Pig Headband $4.95
1x Peppa Pig Ice Cream Set $7.95
1x Peppa Pig Masks $4.95
1x Peppa Pig Skirt $12.95
1x Peppa Pig Non Woven Bag $4.95",63.65,32.0,1.9890625
Kinder Chocolate,"1x Kinder Surprise 3 Pack $5.50
2x Kinder Chocolate Snack Bar 21g $1.25
1x Kinder Chococlate Mini 20 Pack $4.30
1x Kinder Happy Hippo Hazelnut Biscuit Bar 5 Pack $4.50
1x Kinder Lamb Plush Toy (Choose Black or White) $15.00",31.8,16.0,1.9875
Pokemon Junior #1,"1x  Pokemon Backpack $24.95
1x Pokemon Badges $4.95
1x Pokemon Drawstring Bag $7.95
1x Pokemon Headband $4.95
1x Pokemon Box $7.95
1x Pokemon Window Decal $4.95
1x Pokemon Trading Cards $2.95
1x Pokemon Tote Bag $4.95",63.6,32.0,1.9875
Miffy,"1x Miffy Backpack $24.95
1x Miffy Drink Bottle $7.95
1x Miffy Gift Card $4.95
1x Miffy Keychain $2.95
1x Miffy Nail Stickers $2.95
1x Miffy Tote Bag $3.95
1x Miffy Notebook $3.95
1x Miffy Pencil Case $3.95
1x Miffy Stickers $2.95
1x Miffy Plush $4.95",63.5,32.0,1.984375
Ladybug,"1x Ladybug Umbrella $12.95
1x Ladybug Wings $6.95
1x Ladybug Skirt $4.95
1x Ladybug Wand $0.95
1x Ladybug Headband $1.95
1x Bug 3D Stickers $1.95
1x Ladybug Soft Doll $9.95",39.65,20.0,1.9825
The Original Idiot,"1x Sticky Snapper Hand $1.95
1x Trick Snot $1.95
1x Trick Broken Window Sticker $1.95
1x Trick Chewing Gum $1.95
1x Trick Dog Poo $2.95
1x Trick Bullants $2.95
1x Trick Cockroach $1.95
1x Trick Poo Flinger $1.95
1x Toilet Putty $3.95
1x Sticky Splat Ball $3.95
1x Pop Tube $3.95
1x Sound Tube $4.95
1x Pop Finger Spinner $3.95
1x PLUS A CHOICE OF ONE OF THE FOLLOWING NOVELTIES $24.95
Sonar XT Gaming Headphones 
Blaze Storm RV10 Gun 
Bubble Tea 40cm plush 
Skateboard 
Crash Bandicoot 44cm Plush 
NERF Gun 
Stress Buster ",63.3,32.0,1.978125
Bingo,"1x Bingo Activity Set $4.95
1x Bingo Backpack $24.95
1x Bingo Plate $4.95
1x Bingo Play Ball $4.95
1x Bingo Puzzle Set $4.95
1x Bingo Headband $4.95
1x Bingo Sunglasses $7.95
1x Bingo Tote Bag $4.95",62.6,32.0,1.95625
Game of Thrones,"1x Game of Thrones A5 Notebook $3.95
1x Game of Thrones Backpack $19.95
1x Game of Thrones Banner $9.95
1x Game of Thrones Coasters $4.95
1x Game of Thrones Lanyard $3.95
1x Game of Thrones Mousepad $4.95
1x Game of Thrones Tote Bag $4.95
1x Game of Thrones Travel Mug $9.95",62.6,32.0,1.95625
PJ Masks,"1x PJ Masks Backpack $24.95
1x PJ Masks Activity Set $4.95
1x PJ Masks Bubble Gun $12.95
1x PJ Masks Headband $4.95
1x PJ Masks Kaleidoscope $4.95
1x PJ Masks Temporary Tattoos $3.95
1x PJ Masks Tote Bag $4.95",61.65,32.0,1.9265625
TMNT  Retro Showbag,"1x TMNT Tote Bag $4.95
1x TMNT Backpack $19.95
1x TMNT Grip Ball $9.95
1x TMNT Gliders $4.95
1x TMNT Mask Set $3.95
1x TMNT Cap $12.95
1x TMNT Pinball $4.95",61.65,32.0,1.9265625
Paw Patrol Showbag  #2,"1x PAW PATROL BACKPACK WITH COOLERBAG $19.95
1x PAW PATROL BALL $4.95
1x PAW PATROL COLOUR IN PUZZLE SET $4.95
1x PAW PATROL DRINK BOTTLE $7.95
1x PAW PATROL GRIP BALL SET $9.95
1x PAW PATROL TEMPORARY TATTOOS $3.95
1x PAW PATROL MASK SET $4.95
1x PAW PATROL NON WOVEN BAG $4.95",61.6,32.0,1.925
Minnie Mouse Bag,"1x Minnie Mouse Carry Bag $5.95
1x Minnie Mouse Vinyl Backpack $15.95
1x Minnie Mouse Bow Headband and Face Paint Set $5.95
1x Minnie Mouse Lip Balm $1.95
1x Minnie Mouse Nail Polish Set $2.49
1x Minnie Mouse Satin Skirt $12.95
1x Minnie Mouse Plush Slippers (size 30-31) $15.95
1x Minnie  Mouse Skipping Rope $5.95",67.14,35.0,1.9182857142857144
Bag of Bubbles,"1x Bubble Gun (Choice of Duck, Dolphin, Big Eye or Clown Fish) $9.95
1x 500ml Bubble Solution $3.95
1x Touch a Bubbles $2.95
1x Bubble Making Set $3.95
1x Trumpet Bubble Set $3.95
1x Bubble Microphone $3.95",28.7,15.0,1.9133333333333333
Warning Xtreme Sour,"34x  Warheads $0.25
1x Karate Roller Rainbow $0.80
1x Sticky Hand $3.95
1x Cosmic Super Sour Powder Dip and Stick $1.50
1x TNT Sour Slurp $1.00
6x Magic Popping Candy $0.20
1x Big Tooth Sou Bubble Gum $1.50
1x Tangy Busters $0.60",19.05,10.0,1.905
